section,height,d13C,d18O
A17,81.50,4.51,-5.19
A17,81.50,0.45,-6.81
A17,82.70,2.49,-9.23
A17,82.70,7.29,-6.35
A17,83.00,3.38,-9.47
A17,84.00,2.96,-8.06
A17,84.00,8.89,-1.67
A17,84.00,3.75,-7.68
A17,84.00,4.21,-7.16
A17,84.80,1.59,-8.24
A17,85.00,3.17,-7.92
A17,86.00,3.49,-4.71
A17,87.00,0.26,-10.27
A17,88.00,2.60,-6.52
A17,96.00,1.15,-7.24
A17,98.00,0.73,-6.84
A18,1.00,3.19,-3.15
A18,2.00,3.86,-3.19
A18,3.00,5.35,-2.20
A18,4.00,3.22,-4.29
A18,5.00,2.16,-5.34
A18,6.00,4.14,-4.01
A18,7.00,5.41,-3.34
A18,8.00,3.10,-3.43
A18,13.00,-1.37,-3.77
A18,15.50,-2.15,-5.55
A18,23.50,-6.06,-7.47
A18,25.00,-2.10,-12.68
A18,26.00,-1.60,-8.30
A18,28.00,-0.21,-7.45
A18,29.00,-0.56,-6.18
A18,29.30,1.18,-5.74
A18,29.30,-0.91,-6.02
A18,29.30,3.47,-4.71
A18,29.30,-2.69,-6.80
A18,30.00,1.98,-5.09
A18,31.00,2.01,-4.81
A18,31.00,-0.54,-4.77
A18,31.00,0.02,-4.90
A18,32.00,2.63,-4.73
A19,0.00,2.17,-6.50
A19,1.50,-0.86,-8.72
A19,3.00,-0.66,-7.95
A19,4.50,-2.42,-7.29
A19,6.00,-2.89,-5.91
A19,7.50,-2.79,-6.17
A19,9.00,-3.41,-6.13
A19,10.50,0.94,-6.12
A19,12.00,-0.77,-8.67
A19,13.50,3.06,-4.51
A19,15.00,3.23,-4.14
A19,16.50,2.20,-6.14
A19,18.00,0.39,-6.59
A19,19.50,0.30,-6.85
A19,21.00,0.69,-5.31
A19,22.50,0.00,-5.80
A19,23.00,-1.23,-5.28
A19,24.50,1.95,-3.47
A19,26.00,0.97,-4.99
A19,27.50,0.13,-5.09
A19,29.00,-1.53,-4.33
A19,30.50,2.50,-3.31
A19,32.00,4.34,-2.18
A19,33.50,6.43,-3.16
A19,35.00,7.90,0.07
A19,36.50,5.02,-2.23
A19,38.00,6.60,-1.95
A19,39.50,2.56,-4.27
A19,41.00,2.87,-4.84
A19,42.50,4.48,-2.76
A19,44.00,0.75,-4.36
A19,45.50,4.94,-5.24
A19,47.00,2.21,-5.57
A19,48.50,5.36,-3.20
A19,50.00,4.55,-1.75
A19,51.50,4.48,-1.99
A19,53.00,3.61,-4.70
A19,54.50,6.41,-3.74
A19,56.00,4.08,-4.10
A19,57.50,5.55,-2.50
A19,59.00,4.66,-2.66
A19,62.00,3.82,-3.50
A19,63.50,6.75,-0.65
A19,64.50,4.69,-3.16
A19,66.00,4.69,-2.78
A19,68.50,-2.09,-4.65
A19,71.50,-0.88,-4.63
A19,74.50,6.33,-3.04
A19,76.00,6.86,-2.97
A19,77.50,7.30,-1.63
A19,79.00,3.82,-3.90
A19,80.50,4.76,-4.09
A19,82.00,6.20,-4.11
A19,83.50,5.78,-4.11
A19,85.00,6.20,-5.15
A19,90.00,-0.38,-4.42
A19,100.00,0.10,-5.88
A19,101.50,0.97,-5.64
A19,103.00,-1.06,-5.53
A19,104.50,2.11,-5.39
A19,106.00,-1.06,-4.43
A19,107.50,-3.21,-7.54
A19,114.50,-3.92,-6.65
A19,116.50,-4.67,-7.47
A19,118.00,-3.39,-7.64
A19,120.00,-4.06,-8.23
A19,121.50,-0.91,-5.42
A19,123.00,-0.96,-5.05
A19,124.50,-0.99,-5.30
A19,126.00,-1.55,-5.58
A19,127.50,-0.51,-4.90
A19,131.00,-1.28,-5.72
A19,132.00,-1.22,-4.97
A19,133.00,-0.02,-5.27
A19,134.50,-0.70,-5.52
A19,134.50,-0.98,-5.72
A19,136.00,-1.58,-6.66
A19,137.50,-0.12,-5.03
A19,140.00,-0.54,-6.25
A19,141.50,0.40,-5.24
A19,141.50,-2.11,-6.04
A19,143.00,-0.68,-5.82
A19,144.00,-2.17,-3.06
A19,145.50,-1.76,-4.96
A19,147.00,-1.74,-5.48
A19,149.00,-1.83,-6.84
A19,150.50,-1.78,-3.22
A19,154.00,-0.80,-5.70
A19,155.50,-0.73,-6.40
A19,157.00,0.01,-5.06
A19,159.00,-0.82,-5.52
A19,160.00,-1.43,-5.42
A19,161.50,-1.12,-2.92
A19,164.50,-1.72,-2.00
A19,166.00,-1.39,-6.71
A19,167.50,-2.58,-2.41
A19,168.50,-0.63,-6.42
A19,170.00,-1.59,-2.38
A19,171.50,-2.48,-2.73
A19,173.00,-1.32,-5.42
A19,174.50,-1.92,-8.51
A19,176.00,-1.22,-5.87
A19,177.50,-1.74,-6.29
A19,179.00,-1.92,-2.32
A19,180.50,-2.32,-3.53
A19,183.00,-0.20,-5.39
A19,183.00,-0.27,-5.66
A19,183.00,-0.13,-2.98
A19,183.00,-0.31,-3.34
A19,186.00,-0.17,-4.87
A19,186.00,3.57,-0.66
A19,187.50,0.97,-4.74
A19,189.00,1.91,-4.08
A19,189.00,1.73,-4.22
A19,189.00,2.91,-4.23
A19,189.00,5.04,-2.40
A19,190.50,1.96,-4.17
A19,190.50,1.46,-4.11
A19,190.50,1.35,-4.15
A19,190.50,1.28,-5.39
A19,190.50,3.68,-3.09
A19,192.00,2.19,-3.52
A19,192.00,1.34,-3.81
A19,192.00,6.29,-1.28
A19,193.00,2.13,-4.27
A19,193.00,0.66,-4.86
A19,193.00,0.00,-4.60
A19,195.00,1.81,-4.06
A19,195.00,-0.78,-9.30
A19,195.00,0.28,-6.14
A19,195.00,3.58,-3.72
A19,198.00,1.61,-4.84
A19,198.00,7.55,0.99
A19,199.00,1.41,-5.84
A19,199.00,4.89,-2.89
A19,200.50,1.72,-3.89
A19,200.50,3.71,-3.74
A19,200.5,4.86,-3.35
A19,200.5,7.95,-1.27
A19,200.5,3.09,-1.45
A19,202,2.23,-3.80
A19,202,3.05,-3.39
A19,202,-2.00,-11.09
A19,202,0.00,-5.33
A19,202,7.14,-1.86
A19,206,1.52,-4.32
A19,206,9.40,-1.28
A19,208,-0.89,-3.58
A20,0,6.80,-0.14
A20,1,5.70,-3.51
A20,2,5.90,-4.43
A20,3,3.26,-3.75
A20,4,7.52,-1.56
A20,5,3.93,-4.55
A20,6,5.64,-4.58
A20,7,4.75,-4.09
A20,8,5.35,-2.18
A20,9,5.37,-3.69
A20,10,3.85,-5.51
A20,11,4.41,-4.05
A20,12,3.57,-4.38
A20,13,6.44,-1.43
A20,14,3.14,-4.40
A20,15,2.73,-4.52
A20,16,2.22,-4.20
A20,18,-1.70,-4.47
A20,19,6.51,-0.85
A20,20,5.80,-0.75
A20,21,5.92,-1.43
A20,22,5.84,-2.35
A20,23,6.08,-2.91
A20,24,6.39,-1.66
A20,25,7.38,-0.44
A20,26,6.62,-0.86
A20,29,6.84,0.04
A20,30,5.12,-1.17
A20,31,5.11,-3.03
A20,33,4.85,-2.08
A20,34,4.94,-1.68
A20,36.8,-4.80,-8.70
A20,38,5.41,-4.12
A20,39.5,5.02,-4.46
A20,40.5,6.28,-4.10
A20,42.5,4.55,-5.26
A20,47,6.26,-4.91
A20,51,-2.03,-6.00
A20,52,7.41,-7.03
A20,53,8.00,-6.14
A20,54,6.61,-6.38
A20,55,7.31,-6.71
A20,56,7.34,-7.51
A20,57,7.58,-7.72
A20,58.5,5.50,-6.90
A20,60,4.33,-6.61
A20,63,2.45,-6.28
A20,79.5,3.57,-8.33
A20,80,5.03,-7.89
A20,81.5,4.77,-3.17
A20,83,2.32,-3.13
A20,84.5,4.72,-3.90
A20,86,6.45,-3.46
A20,87.7,3.18,-4.02
A20,88.5,2.88,-2.91
A20,90,3.70,-3.91
A20,91.5,0.93,-3.48
A20,93,-1.86,-3.46
A20,94.5,-0.32,-4.96
A20,95.7,2.92,-4.40
A20,97.5,-0.91,-3.68
A20,100.5,-0.83,-3.85
A20,102,-0.74,-4.02
A20,103.5,-0.76,-3.50
A20,105,-1.15,-3.95
A20,106.5,4.42,-4.24
A20,108,0.36,-4.17
A20,109.5,-0.40,-4.53
A20,111,-2.36,-4.23
A20,112.5,2.10,-4.22
A20,114,2.78,-4.29
A20,115,3.83,-3.19
A20,116.5,2.39,-3.92
A20,116.5,1.44,-2.21
A20,116.5,1.33,-2.49
A20,116.5,5.06,-2.72
A20,116.5,-0.33,-3.41
A20,118,1.69,-4.77
A20,118,-3.69,-4.80
A20,118,6.97,-1.22
A20,119,3.16,-4.71
A20,119,3.94,-4.52
A20,121,3.07,-4.26
A20,121,0.77,-5.20
A20,122.5,-0.85,-7.04
A20,122.5,-0.21,-6.20
A20,122.5,0.51,-4.98
A20,124,2.75,-4.64
A20,125.5,3.99,-3.30
A20,125.5,1.18,-3.38
A20,125.5,1.75,-3.33
A20,141,2.03,-4.03
A20,143,-2.72,-5.27
A20,144,1.60,-1.98
A20,144,5.33,-1.77
A20,159,-0.49,-3.96
A22,0,6.12,-3.48
A22,1.5,4.95,-2.20
A22,3,5.51,-1.63
A22,4.5,5.54,-3.02
A22,6,-3.00,-4.38
A22,7.5,3.87,-3.74
A22,9.5,-2.99,-4.72
A22,10.5,-0.21,-4.10
A22,12.5,1.86,-4.08
A22,13.5,3.41,-3.14
A22,14.5,4.02,-2.67
A22,16.5,2.29,-3.61
A22,17.5,5.03,-2.95
A22,20,5.19,-0.56
A22,23,4.43,-2.47
A22,24.5,3.60,-4.36
A22,26,5.49,-0.48
A22,27.5,3.91,-2.29
A22,29,4.67,-1.66
A22,30.5,5.57,-3.52
A22,32,4.48,-2.37
A22,32,5.74,-2.02
A22,32,3.48,-3.38
A22,33.5,4.39,-6.56
A22,35,4.08,-6.91
A22,36,4.76,-8.23
A22,51,6.03,-8.01
A22,51.5,5.69,-8.36
A22,55,6.01,-6.35
A22,62.5,6.85,-7.93
A22,73.5,-0.96,-5.09
A22,75,1.57,-6.56
A22,76,0.86,-5.95
A22,79.2,1.82,-6.86
A22,80.5,2.43,-6.53
A22,81.5,-1.31,-4.81
A22,82.5,2.50,-4.80
A22,83.5,2.16,-5.08
A22,84,2.35,-5.21
A22,85.5,2.20,-5.31
A22,87,-0.08,-5.37
A22,87.5,2.33,-5.33
A22,88.5,-3.38,-5.20
A22,89.5,-0.77,-5.83
A22,90.5,-3.05,-5.69
A22,91.5,-2.75,-5.35
A22,93,-0.27,-5.43
A22,95,1.73,-5.04
A22,96.5,3.78,-4.84
A22,98,1.67,-4.29
A22,99.5,-2.30,-4.55
A22,101,-2.68,-4.32
A22,103,-0.36,-4.47
A22,103,-0.51,-4.61
A22,104.5,-0.32,-4.50
A22,106,1.25,-4.38
A22,107.5,1.65,-4.48
A22,109,0.03,-5.46
A22,110.5,0.70,-3.11
A22,110.5,0.54,-2.60
A22,112.5,0.33,-2.55
A22,113.5,1.35,-2.94
A22,113.5,-2.43,-6.72
A22,114.5,0.80,-3.72
A22,114.5,4.32,-1.19
A22,116,2.27,-4.65
A22,116,1.35,-4.76
A22,117.5,0.72,-4.67
A22,119,-2.80,-6.49
A22,119,0.30,-4.77
A22,124,1.85,-3.37
A22,130,1.22,-5.94
A22,130,-1.54,-4.73
A22,130,-2.02,-8.49
A22,130,0.44,-6.70
A22,132,2.04,-5.95
A22,132,3.26,-3.73
A22,132,5.22,-4.11
A22,134,0.80,-6.33
A22,134,10.25,-0.08
A22,134,-1.00,-4.82
A22,134,0.90,-6.19
A22,136,5.65,-3.39
A22,136,8.45,-2.07
A22,138,0.91,-4.69
A22,138,6.47,-3.07
A22,138,-1.30,-5.06
A22,138,7.76,-2.46
A24,0,4.40,-4.61
A24,1,4.10,-5.83
A24,2,3.51,-6.02
A24,3,3.05,-5.90
A24,4,1.51,-6.55
A24,5,6.58,-2.39
A24,6,3.50,-5.12
A24,7,2.47,-7.50
A24,8,3.56,-6.35
A24,8.9,4.80,-4.98
A24,10,4.51,-6.80
A24,11,4.42,-6.69
A24,12,4.36,-7.57
