Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,
Hongzixi,24/05/16-29/05/16,27.98858553,108.7938774,28.03035788,108.8142801,WGS84,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,COLOUR,FEATURES,HASH,,ASH,ASH_HEIGHT,,DZ,DZ_HEIGHT,,PM_SITE,PM_SAMPLE,PM_HEIGHT,,CHEM_SAMPLE,CHEM_HEIGHT,CHEM_d13C,CHEM_d18O,CHEM_87Sr/86Sr
0.1,tuff,tuff,tuff,,,,,,,,,,16TR010,C,535.95,,s111,977.3,6.658,-7.648,
23.8,si,sts-vfss,green,tectonized,,,,,,,,,16TR010,D,536.34,,s112,983.3,6.457,-8.115,0.706654371
24,cover,cover,cover,,,,,,,,,,16TR010,E,537.31,,s113,983.3,6.384,-3.209,0.706642807
23.8,si,sts-vfss,green,,,,,,,,,,16TR010,F,543.27,,s114,984.8,6.134,-7.387,
13.5,cover,cover,cover,,,,,,,,,,16TR010,G,543.66,,s115,984.8,5.077,-6.021,
3.8,si,sts-vfss,green,,,,,,,,,,16TR010,H,543.73,,s116,993.4,6.362,-7.405,
13.5,cover,cover,cover,tectonized,,,,,,,,,16TR010,I,547.7,,s117,993.4,6.511,-5.754,
10.5,si,sts-vfss,purple-green,,,,,,,,,,16TR010,J,548.5,,s118,997.1,6.685,-6.962,
26.5,si,sts-vfss,purple-green,tectonized,,,,,,,,,16TR010,K,549.08,,s119,997.1,6.423,-4.612,
16.5,si,sts-vfss,purple-green,,,,,,,,,,16TR010,L,549.24,,s120,1001.6,4.409,-8.111,
1.5,cover,cover,cover,,,,,,,,,,16TR011,A,477.86,,s121,1001.6,3.814,-10.99,
12.5,si,sts-vfss,purple-green,,,,,,,,,,16TR011,B,477.87,,s122,1009.9,4.344,-5.717,
10.5,si,sts-vfss,green,,,,,,,,,,16TR011,C,478.59,,s123,1014.8,4.661,-9.559,
29.8,cover,cover,cover,,4,,,,,,,,16TR011,D,478.92,,s124,1014.8,5.899,-6.983,
22.4,si,sts-vfss,purple-green,,,,,,,,,,16TR011,E,479.04,,s125,1022.6,4.717,-7.842,
4.8,cover,cover,cover,,,,,,,,,,16TR011,F,480.79,,s126,1022.6,3.531,-12.655,
21.6,si,sts-vfss,purple-green,,,,,,,,,,16TR011,G,482.23,,s127,1030.5,4.532,-7.704,
14.1,cover,cover,cover,,5,,,,,,,,16TR011,H,482.25,,s128,1042.5,3.932,-7.289,
17.4,si,sts-vfss,purple-green,,,,,,,,,,16TR011,I,482.64,,s129,1042.5,2.27,-11.982,
71.4,cover,cover,cover,,6,,,,,,,,16TR011,J,483,,s130,1046.3,4.139,-6.927,
9,si,sts-vfss,purple-green,tectonized,,,,,,,,,16TR011,K,483.34,,s131,1046.3,4.609,-4.514,
28.8,cover,cover,cover,,7,,,,,,,,16TR012,A,1151.6,,s132,1055.3,4.058,-7.496,
29,si,sts-vfss,purple-green,tectonized,,,,,,,,,16TR012,B,1151.64,,s133,1055.6,5.459,-6.569,
145,cover,cover,cover,,8,,,,,,,,16TR012,C,1152.94,,s134,1055.6,5.891,-5.664,
1.8,si,vfss,beige,,,,,,,,,,16TR012,D,1153.94,,s135,1060.1,5.352,-6.773,
39.8,cover,cover,cover,,9,,,,,,,,16TR012,E,1154.66,,s136,1060.1,6.114,-6.047,
30,si,vfss,beige,,,,,,,,,,16TR012,F,1154.76,,s137,1065,5.289,-8.147,
50.7,si,vfss,beige,tectonized,10,,,,,,,,16TR012,G,1154.84,,s138,1069.1,4.971,-7.741,
3.4,si,sts,brick red,,,,,,,,,,16TR012,H,1154.88,,s139,1069.1,5.61,-5.575,
10.5,cover,cover,cover,,,,,,,,,,16TR012,I,1155.75,,s140,1073.6,5.595,-9.267,
6.3,si,sts,brick red,,,,,,,,,,16TR012,J,1156.57,,s141,1073.6,5.45,-5.84,
42.4,si,sts,brick red,,11,,,,,,,,16TR012,K,1156.74,,s142,1077.8,5.372,-5.447,
7.5,si,vfss,beige,,,,,,,,,,16TR012,L,1158.84,,s143,1077.8,5.977,-7.607,
13.4,si,vfss-tuff,tuff,,,,,,,,,,16TR012,M,1161.54,,s144,1083.4,4.407,-4.337,
23.5,si,vfss-tuff,beige,tectonized,,,,,,,,,16TR012,N,1161.57,,s145,1087.1,4.964,-4.372,
112.7,cover,cover,cover,,12,,,,,,,,16TR012,P,1161.89,,s146,1090.5,4.704,-3.688,
13.5,si,sts,black,,,,,,,,,,16TR012,Q,1162.16,,s147,1096.1,5.476,-2.257,
,,,,,,,,,,,,,16TR013,A,1671.6,,s148,1101,4.683,-3.849,
,,,,,,,,,,,,,16TR013,B,1672.46,,s149,1101,4.64,-6.179,
,,,,,,,,,,,,,16TR013,C,1672.52,,s150,1101.8,4.619,-4.15,
,,,,,,,,,,,,,16TR013,D,1672.6,,s151,1101.8,5.641,-3.856,0.706779557
,,,,,,,,,,,,,16TR013,E,1673.33,,s152,1108.1,5.077,-3.582,
,,,,,,,,,,,,,16TR013,F,1673.41,,s153,1111.9,5.305,-1.581,
,,,,,,,,,,,,,16TR013,G,1673.42,,s154,1116,5.156,-2.246,
,,,,,,,,,,,,,16TR013,H,1675.37,,s155,1120.5,5.124,-1.768,
,,,,,,,,,,,,,16TR013,I,1676.04,,s156,1125,4.852,-1.545,
,,,,,,,,,,,,,16TR013,J,1676.06,,s157,1131,4.681,-1.497,
,,,,,,,,,,,,,16TR013,K,1677.6,,s158,1135.1,5.157,-0.969,
,,,,,,,,,,,,,16TR013,L,1678.07,,s159,1142.6,5.814,0.557,
,,,,,,,,,,,,,16TR013,M,1672.15,,s160,1150.9,6.086,0.359,
,,,,,,,,,,,,,16TR014,A,1716.77,,s161,1154.3,5.705,-0.296,
,,,,,,,,,,,,,16TR014,B,1716.91,,s162,1162.9,5.563,0.198,
,,,,,,,,,,,,,16TR014,C,1716.9,,s163,1172.6,4.438,-10.912,
,,,,,,,,,,,,,16TR014,D,1717.24,,s164,1175.3,4.523,-9.974,
,,,,,,,,,,,,,16TR014,E,1717.22,,s165,1179,4.472,-7.818,
,,,,,,,,,,,,,16TR014,F,1717.43,,s166,1186.5,4.403,-7.543,
,,,,,,,,,,,,,16TR014,G,1717.46,,s167,1212.4,4.21,-8.77,
,,,,,,,,,,,,,16TR014,H,1717.48,,s168,1219.1,4.547,-6.414,
,,,,,,,,,,,,,16TR014,I,1717.61,,s169,1226.6,3.329,-8.837,
,,,,,,,,,,,,,16TR014,J,1717.94,,s170,1226.6,3.409,-5.738,
,,,,,,,,,,,,,16TR014,K,1718.03,,s171,1233.8,4.176,-6.788,
,,,,,,,,,,,,,16TR014,L,1718.17,,s172,1241.6,3.41,-6.428,
,,,,,,,,,,,,,16TR015,A,1718.43,,s173,1247.3,5.412,-6.202,
,,,,,,,,,,,,,16TR015,B,1718.82,,s174,1253.6,2.428,-6.386,
,,,,,,,,,,,,,16TR015,C,1718.91,,s175,1260.4,5.129,-6.412,
,,,,,,,,,,,,,16TR015,D,1719.12,,s176,1271.3,5.138,-6.049,
,,,,,,,,,,,,,16TR015,E,1719.05,,s177,1273.5,4.651,-5.034,
,,,,,,,,,,,,,16TR015,F,1720.35,,s178,1281.8,5.449,-6.326,0.706663267
,,,,,,,,,,,,,16TR015,G,1720.52,,s179,1281.8,2.745,-6.26,0.70666025
,,,,,,,,,,,,,16TR015,H,1720.64,,s180,1284.8,3.923,-6.773,
,,,,,,,,,,,,,16TR015,I,1720.81,,s181,1290,4.02,-5.326,
,,,,,,,,,,,,,16TR015,J,1720.84,,s182,1297.5,3.448,-6.809,
,,,,,,,,,,,,,16TR015,K,1720.83,,s183,1305.8,3.583,-6.78,
,,,,,,,,,,,,,,,,,s184,1308.8,1.488,-4.208,
,,,,,,,,,,,,,,,,,s185,1309.1,3.338,-7.043,
,,,,,,,,,,,,,,,,,s186,1311,3.721,-6.737,0.706656827
,,,,,,,,,,,,,,,,,s187,1311,,,
,,,,,,,,,,,,,,,,,s188,1312.5,2.373,-7.204,
,,,,,,,,,,,,,,,,,s189,1315.5,3.655,-7.627,
,,,,,,,,,,,,,,,,,s190,1321.1,4.162,-7.501,
,,,,,,,,,,,,,,,,,s191,1327.1,4.235,-6.914,
,,,,,,,,,,,,,,,,,s192,1331.6,4.168,-8.283,
,,,,,,,,,,,,,,,,,s193,1337.3,3.23,-6.249,
,,,,,,,,,,,,,,,,,s194,1338.4,4.394,-8.091,0.706655403
,,,,,,,,,,,,,,,,,s195,1338.4,3.393,-5.488,0.706687046
,,,,,,,,,,,,,,,,,s196,1342.5,6.059,-7.076,
,,,,,,,,,,,,,,,,,s197,1348.1,5.594,-8.327,
,,,,,,,,,,,,,,,,,s198,1353.4,5.768,-8.381,
,,,,,,,,,,,,,,,,,s199,1357.1,5.735,-8.049,
,,,,,,,,,,,,,,,,,s200,1360.1,5.562,-11.149,
,,,,,,,,,,,,,,,,,s201,1362.4,6.133,-9.443,
,,,,,,,,,,,,,,,,,s202,1366.1,4.667,-10.045,
,,,,,,,,,,,,,,,,,s203,1369.1,3.688,-9.926,
,,,,,,,,,,,,,,,,,s204,1375.1,1.866,-8.599,
,,,,,,,,,,,,,,,,,s205,1379.6,0.448,-11.115,
,,,,,,,,,,,,,,,,,s206,1386,5.341,-3.335,
,,,,,,,,,,,,,,,,,s207,1389.8,5.192,-2.902,
,,,,,,,,,,,,,,,,,s208,1400.6,5.346,-3.599,
,,,,,,,,,,,,,,,,,s209,1404.4,5.234,-3.774,
,,,,,,,,,,,,,,,,,s210,1406.3,5.228,-3.566,
,,,,,,,,,,,,,,,,,s211,1408.9,5.3,-3.5,
,,,,,,,,,,,,,,,,,s212,1415.6,5.239,-4.037,
,,,,,,,,,,,,,,,,,s213,1419.4,5.145,-3.341,
,,,,,,,,,,,,,,,,,s214,1427.3,3.7,-7.997,
,,,,,,,,,,,,,,,,,s215,1428.4,3.642,-3.439,
,,,,,,,,,,,,,,,,,s216,1443,5.237,-2.735,
,,,,,,,,,,,,,,,,,s217,1446.4,5.14,-2.422,
,,,,,,,,,,,,,,,,,s218,1451.6,5.42,-1.941,
,,,,,,,,,,,,,,,,,s219,1456.5,4.968,-3.393,
,,,,,,,,,,,,,,,,,s220,1465.5,5.085,-2.732,
,,,,,,,,,,,,,,,,,s221,1472.3,5.261,-2.968,
,,,,,,,,,,,,,,,,,s222,1480.1,4.32,-3.528,
,,,,,,,,,,,,,,,,,s223,1491,4.86,-2.135,
,,,,,,,,,,,,,,,,,s224,1494.4,4.768,-2.557,
,,,,,,,,,,,,,,,,,s225,1497,4.632,-2.481,
,,,,,,,,,,,,,,,,,s226,1503.4,4.796,-2.52,
,,,,,,,,,,,,,,,,,s227,1507.1,4.557,-3.173,
,,,,,,,,,,,,,,,,,s228,1515,4.192,-3.444,
,,,,,,,,,,,,,,,,,s229,1519.9,4.527,-3.435,
,,,,,,,,,,,,,,,,,s230,1536,2.02,-5.618,
,,,,,,,,,,,,,,,,,s231,1542.4,1.882,-3.709,
,,,,,,,,,,,,,,,,,s232,1544.4,2.03,-6.225,
,,,,,,,,,,,,,,,,,s233,1638.4,4.892,-6.605,
,,,,,,,,,,,,,,,,,s234,1643.3,6.575,-7.665,0.706453441
,,,,,,,,,,,,,,,,,s235,1647.8,6.186,-7.975,
,,,,,,,,,,,,,,,,,s236,1652.3,5.803,-7.359,
,,,,,,,,,,,,,,,,,s237,1660.9,5.367,-5.249,
,,,,,,,,,,,,,,,,,s238,1668.4,5.427,-7.533,
,,,,,,,,,,,,,,,,,s239,1671.4,4.23,-8.13,
,,,,,,,,,,,,,,,,,s240,1674.4,6.384,-6.375,
,,,,,,,,,,,,,,,,,s241,1679.3,5.949,-6.349,
,,,,,,,,,,,,,,,,,s242,1692,5.207,-7.034,
,,,,,,,,,,,,,,,,,s243,1694.6,5.982,-7.185,
,,,,,,,,,,,,,,,,,s244,1702.5,5.935,-7.482,
,,,,,,,,,,,,,,,,,s245,1710.4,7.136,-6.976,
,,,,,,,,,,,,,,,,,s246,1712.6,6.309,-7.743,
,,,,,,,,,,,,,,,,,s247,1715.6,6.529,-7.083,
,,,,,,,,,,,,,,,,,s248,1717.5,5.323,-8.431,
,,,,,,,,,,,,,,,,,s249,1725.4,4.374,-7.278,
,,,,,,,,,,,,,,,,,s250,1729.5,3.633,-8.385,
,,,,,,,,,,,,,,,,,s251,1733.6,5.662,-7.647,
,,,,,,,,,,,,,,,,,s252,1738.1,7.023,-7.895,
,,,,,,,,,,,,,,,,,s253,1744.1,3.894,-8.676,
,,,,,,,,,,,,,,,,,s254,1746.8,2.044,-8.633,
,,,,,,,,,,,,,,,,,s255,1751.3,3.211,-5.255,
,,,,,,,,,,,,,,,,,s256,1753.9,,,
,,,,,,,,,,,,,,,,,s257,1757.6,,,
,,,,,,,,,,,,,,,,,s258,1765.5,1.652,-7.671,
,,,,,,,,,,,,,,,,,s259,1769.3,0.791,-6.622,
,,,,,,,,,,,,,,,,,s260,1779,0.289,-7.221,
,,,,,,,,,,,,,,,,,s261,1780.1,-0.417,-7.971,
,,,,,,,,,,,,,,,,,s262,1810.1,-0.577,-10.498,0.705967283
,,,,,,,,,,,,,,,,,s263,1815.4,-0.743,-10.272,
,,,,,,,,,,,,,,,,,s264,1817.6,-0.526,-9.92,
,,,,,,,,,,,,,,,,,s265,1821.8,1.467,-9.741,
,,,,,,,,,,,,,,,,,s266,1822.9,-2.971,-10.013,
,,,,,,,,,,,,,,,,,s267,1847.6,-2.808,-6.402,
,,,,,,,,,,,,,,,,,s268,1873.1,3.866,-9.862,
,,,,,,,,,,,,,,,,,s269,1879.5,1.297,-1.383,
,,,,,,,,,,,,,,,,,s270,1886.6,2.472,-5.05,
,,,,,,,,,,,,,,,,,s271,1888.5,2.495,-5.403,
,,,,,,,,,,,,,,,,,s272,1889.6,2.308,-5.94,
,,,,,,,,,,,,,,,,,s273,1891.1,2.744,-3.58,
,,,,,,,,,,,,,,,,,s274,2022,,,
,,,,,,,,,,,,,,,,,s275,2023.1,,,
